TIPO;PAIS;REGION;CIUDAD;CATEGORIA;NOMBRE;XML URL;HTML URL
 Medios;Argentina ;Buenos Aires;;Econom°a;iProfesional.com;http://feeds.feedburner.com/iprofesional-comercio-exterior;www.iprofesional.com
 Medios;Argentina ;Buenos Aires;;Econom°a;iProfesional.com;http://feeds.feedburner.com/iprofesional-economia;www.iprofesional.com
 Medios;Argentina ;Buenos Aires;;Econom°a;iProfesional.com;http://feeds.feedburner.com/iprofesional-finanzas;www.iprofesional.com
 Medios;Argentina ;Buenos Aires;;Econom°a;iProfesional.com;http://feeds.feedburner.com/iprofesional-impuestos;www.iprofesional.com
 Medios;Argentina ;Buenos Aires;;Econom°a;iProfesional.com;http://feeds.feedburner.com/iprofesional-legales;www.iprofesional.com
 Medios;Argentina ;Buenos Aires;;Econom°a;iProfesional.com;http://feeds.feedburner.com/iprofesional-management;www.iprofesional.com
 Medios;Argentina ;Buenos Aires;;Econom°a;iProfesional.com;http://feeds.feedburner.com/iprofesional-marketing;www.iprofesional.com
 Medios;Argentina ;Buenos Aires;;Tecnolog°a & Ciencia;iProfesional.com;http://feeds.feedburner.com/iprofesional-tecnologia;www.iprofesional.com
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;La Raz¢n;http://www.larazon.com.ar/rss/cultura/;www.larazon.com.ar:80
 Medios;Argentina ;Buenos Aires;;Deportes;La Raz¢n;http://www.larazon.com.ar/rss/deportes/;www.larazon.com.ar:80
 Medios;Argentina ;Buenos Aires;;Internacionales;La Raz¢n;http://www.larazon.com.ar/rss/internacional/;www.larazon.com.ar:80
 Medios;Argentina ;Buenos Aires;;Sociales;La Raz¢n;http://www.larazon.com.ar/rss/policia/;www.larazon.com.ar:80
 Medios;Argentina ;Buenos Aires;;Pol°tica;La Raz¢n;http://www.larazon.com.ar/rss/economia/;www.larazon.com.ar:80
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;La Raz¢n;http://www.larazon.com.ar/rss/show/;www.larazon.com.ar:80
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;lanacion.com;http://www.lanacion.com.ar/herramientas/rss/index.asp?categoria_id=6734;www.google.com
 Medios;Argentina ;Buenos Aires;;Econom°a;lanacion.com;http://www.lanacion.com.ar/herramientas/rss/index.asp?categoria_id=337;www.google.com
 Medios;Argentina ;Buenos Aires;;Tecnolog°a & Ciencia;lanacion.com;http://www.lanacion.com.ar/herramientas/rss/index.asp?categoria_id=498;www.google.com
 Medios;Argentina ;Buenos Aires;;Econom°a;lanacion.com;http://www.lanacion.com.ar/herramientas/rss/index.asp?categoria_id=347;www.google.com
 Medios;Argentina ;Buenos Aires;;Sociales;lanacion.com;http://www.lanacion.com.ar/herramientas/rss/index.asp?categoria_id=1344;www.google.com
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;lanacion.com;http://www.lanacion.com.ar/herramientas/rss/index.asp?categoria_id=1;www.google.com
